date,type,count,mean,std,min,25%,50%,75%,max
2008-03-24,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2008-03-27,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-03-29,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2008-04-04,access point,2.0,3.0,1.4142135623730951,2.0,2.5,3.0,3.5,4.0
2008-04-23,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-04-27,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2008-05-03,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-05-20,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2008-05-31,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-06-02,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2008-06-04,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2008-06-06,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2008-06-09,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-06-14,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-06-15,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-06-18,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-06-20,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-06-21,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2008-07-03,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-07-06,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2008-07-13,access point,3.0,4.0,1.0,3.0,3.5,4.0,4.5,5.0
2008-07-22,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-07-27,access point,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
2008-08-07,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2008-08-10,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2008-08-11,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2008-08-14,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2008-08-19,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-08-25,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2008-09-05,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2008-09-07,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2008-09-12,access point,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2008-09-17,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-09-20,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2008-09-24,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-09-30,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-10-09,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2008-10-18,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-10-21,access point,2.0,3.0,2.8284271247461903,1.0,2.0,3.0,4.0,5.0
2008-10-22,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2008-10-24,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-10-27,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-10-28,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-10-30,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-11-02,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2008-11-04,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-11-12,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2008-11-19,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-11-20,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-11-22,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2008-12-05,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-12-07,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-12-11,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-12-14,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2008-12-18,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-12-21,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-12-26,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2008-12-27,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2008-12-28,access point,3.0,4.0,1.7320508075688772,2.0,3.5,5.0,5.0,5.0
2009-01-06,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-01-13,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2009-01-18,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-01-19,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-01-20,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-01-23,access point,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2009-01-26,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-01-27,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2009-02-06,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2009-02-08,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-02-09,access point,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2009-02-20,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-02-22,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-02-26,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-03-03,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-03-04,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-03-09,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-03-13,access point,3.0,3.3333333333333335,2.081665999466133,1.0,2.5,4.0,4.5,5.0
2009-03-14,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-03-20,access point,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2009-04-01,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2009-04-07,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-04-08,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-04-10,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2009-04-11,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-04-25,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2009-04-26,access point,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2009-04-30,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-05-04,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2009-05-11,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-05-13,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-05-16,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-05-24,access point,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2009-05-30,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2009-05-31,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-06-05,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-06-10,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2009-06-12,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-06-13,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2009-06-18,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-06-20,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2009-07-10,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2009-07-14,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2009-07-27,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2009-08-01,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2009-08-02,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-08-08,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
